Contract_Title,Contract_Value,Supplier_Name,Award_Date,matched_sponsor,Town/City,Route
GB-Sheffield: Adaptive Planning Consultancy and Support,72500.0,FOCAL SOLUTIONS CONSULTING LTD,2025-03-10,N CONSULTING LTD,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Shoulders (Orthopaedics) -Stryker,2834688.0,STRYKER UK LIMITED,2025-03-07,STRYKER UK LIMITED,Newbury,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Legal Support for CASTLE Phase 1,25000.0,WOMBLE BOND DICKINSON (UK) LLP,2025-03-06,WOMBLE BOND DICKINSON (UK) LLP,London,Skilled Worker
Respite Care Block Booked Beds located on the Isle of Wight for people suffering with Dementia on the Isle of Wight.,873600.0,ISLAND HEALTHCARE LTD,2025-03-06,ISLAND HEALTHCARE LTD,Ryde,Skilled Worker
"Complex Project Works, Major Voids, Major / Long-term Decants, Insurance Works, and Equipment & Adaptations for London",748800.0,MONOLITH CONSTRUCTION LTD,2025-03-03,CONSTRUCTION 5 LTD.,Leicester,Skilled Worker
LGR Consultancy Services,140000.0,PRICEWATERHOUSECOOPERS,2025-02-28,PRICEWATERHOUSECOOPERS (NORTHERN IRELAND) LLP,Belfast,Skilled Worker
Network Infrastructure review,51272.72,CDW LIMITED,2025-02-28,CDW LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"Complex Project Works, Major Voids, Major / Long-term Decants, Insurance Works, and Equipment & Adaptations for London, Kent, and Sussex.",360533.33,AOCS PROPERTY MAINTENANCE LTD,2025-02-25,MM PROPERTY MAINTENANCE LTD,Slough,Skilled Worker
Jira and Confluence Licences,808744.79,VALIANTYS LIMITED,2025-02-24,VALIANTYS LIMITED,London,Skilled Worker
23-56 Print Management Services,670000.0,STERLING PRESS LTD,2025-02-21,STERLING,Harrow,Skilled Worker
23-56 Print Management Services,670000.0,HARLOW PRINTING LIMITED,2025-02-21,HARLOW PRINTING LIMITED,South Shields,Skilled Worker
King's Dock Development Phase Two Multidisciplinary Team,307609.4,ATKINS REALIS UK LIMITED,2025-02-17,ATKINSREALIS UK LIMITED,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Construction Project Management and associated services,6000000.0,PERFECT CIRCLE JV LTD,2025-02-11,CIRCLE,London,Skilled Worker
Web Forms,38810.0,GOSS INTERACTIVE LIMITED,2025-01-31,EG INTERACTIVE LIMITED,London,Skilled Worker
850 Bus Service - Sunday Service,40000.0,CAROUSEL,2025-01-14,CAROUSEL LOGISTICS LTD,Sittingbourne,Skilled Worker
712885451_Data Quality Management Servies,495000.0,HIPPO DIGITAL LIMITED,2025-01-01,HIPPO DIGITAL LIMITED,Leeds,Skilled Worker
MOPAC: Prison Violence Reduction Interventions (Phase 2),2025000.0,BELONG: MAKING JUSTICE HAPPEN,2024-12-10,JUSTICE,London,Charity Worker 
Standard Service Agreement JEOL-Royce Electron Microscopes,82000.0,JEOL(U.K.)LIMITED,2024-11-29,JEOL (U.K.) LIMITED,WELWYN GARDEN CITY,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Standard Service Agreement JEOL-Royce Electron Microscopes 2023-2024,82000.0,JEOL(U.K.)LIMITED,2024-11-29,JEOL (U.K.) LIMITED,WELWYN GARDEN CITY,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
ESCC-HP-DAW-Construction and Engineering Design Services to provide technical support through the construction stage of the Phase 2B Queensway Gateway Road (QGR) project.,83000.0,CAMPBELLREITH CONSULTING ENGINEERS,2024-11-26,E3 CONSULTING ENGINEERS,Bristol,Skilled Worker
MH 0095 - Project Management as a Service - AWARD,0.0,METHODS BUSINESS AND DIGITAL TECHNOLOGY LTD,2024-11-21,METHODS BUSINESS AND DIGITAL TECHNOLOGY,London,Skilled Worker
Tier 4 Detoxification: Lot 1 Inpatient Detoxification and Lot 2 Inpatient Residential Rehabilitation,1832252.0,MERSEY CARE NHS TRUST,2024-11-18,MERSEY CARE NHS TRUST,Liverpool,Skilled Worker
Tier 4 Detoxification: Lot 1 Inpatient Detoxification and Lot 2 Inpatient Residential Rehabilitation,1832252.0,TURNING POINT SERVICES LTD,2024-11-18,TURNING POINT,Manchester,Skilled Worker
Tier 4 Detoxification: Lot 1 Inpatient Detoxification and Lot 2 Inpatient Residential Rehabilitation,1832252.0,KALEIDOSCOPE PROJECT,2024-11-18,KALEIDOSCOPE PROJECT,Cardiff,Skilled Worker
Tier 4 Detoxification: Lot 1 Inpatient Detoxification and Lot 2 Inpatient Residential Rehabilitation,1832252.0,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,2024-11-18,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,Prestwich,Skilled Worker
Photocopier agreement,382818.0,CANON (UK) LTD,2024-11-08,CANON (UK) LTD,Hayes,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Wessex Public Health Specialty Training- MSc in Public Health,291000.0,UNIVERSITY OF SOUTHAMPTON,2024-10-23,UNIVERSITY OF SOUTHAMPTON,Southampton,Creative Worker / Government Authorised Exchange  / Skilled Worker
OneTrust Extension,156495.0,ONETRUST TECHNOLOGY LIMITED,2024-10-15,ONETRUST TECHNOLOGY LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
948 GM Leadership Development Programme,140000.0,GREEN PARK INTERIM AND EXECUTIVE LTD.,2024-09-30,GREEN PARK INTERIM & EXECUTIVE LTD,Victoria,Skilled Worker
Gas supply contract award,9000000.0,CORONA ENERGY LIMITED,2024-09-26,CORONA ENERGY LIMITED,Watford,Skilled Worker
The provision of a Road Map for achieving a Net Zero Carbon Borough in Basingstoke and Deane,57350.0,THE CARBON TRUST,2024-09-13,THE CARBON TRUST,London,Skilled Worker
THRE0044 - Business Case Study,300000.0,MACE CONSULT LIMITED,2024-09-02,MACE CONSULT LIMITED,London,Skilled Worker
TfL FIRE PROTECTION SYSTEMS - MAINTENANCE SERVICES,60954071.0,TELENT TECHNOLOGY SERVICES LIMITED,2024-08-30,TELENT TECHNOLOGY SERVICES LIMITED,Warwick,Skilled Worker
North Northamptonshire Council- Technical Lead Consultant,174200.0,NEW NETWORKS LIMITED,2024-08-19,NEOS NETWORKS LIMITED,Perth,Skilled Worker
GMCA 1192 Northern Gateway Strategic Advisor,148062.45,KPMG LLP,2024-08-14,KPMG LLP,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
RUGCON - Cremator and Filtration Equipment Maintenance,479280.0,FACULTATIEVE TECHNOLOGIES LTD,2024-07-29,FACULTATIEVE TECHNOLOGIES LIMITED,Leeds,Skilled Worker
Thermo-Fisher (FEI) Electron Microscope Service Contract,82000.0,FEI UK LIMITED,2024-07-18,FENDI UK LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
HMCTS Newgate Fit Out - Construction - BPRN 628/22/8417,31275493.91,WATES CONSTRUCTION LIMITED,2024-06-20,HG CONSTRUCTION LIMITED,HITCHIN,Skilled Worker
Software maintenance and repair,5929156.0,PHOENIX SOFTWARE LIMITED,2024-06-10,PHOENIX SOFTWARE LIMITED,York,Skilled Worker
FEW1374 - Service User Participation Service,48000.0,MOSAIC 1898 LTD,2024-06-07,MOSAIC 1898,Leicester,Skilled Worker
Supply of Services - Woods Building Services Ltd t/a AA Woods,2250000.0,WOODS BUILDING SERVICES LTD T/A AA WOODS,2024-05-25,A&R BUILDING SERVICES LTD,NORTH WEMBLEY,Skilled Worker
Purchase of Gas Supply,18940000.0,CORONA ENERGY RETAIL 4 LIMITED,2024-05-20,CORONA ENERGY LIMITED,Watford,Skilled Worker
Homes England - UKREiiF 2024 UKREiiF Pavillion Partnership Fee (Direct award),15000.0,SHARED BUSINESS SERVICES LTD (CABINET OFFICE),2024-05-17,CABINET OFFICE,London,Government Authorised Exchange  / Skilled Worker
ENQ1019 - VRS Repairs - Vehicle Restraint Systems (Crash Barrier Repairs),26882.2,HATTON TRAFFIC MANAGEMENT LTD,2024-03-31,HATTON TRAFFIC MANAGEMENT LIMITED,Newcastle upon Tyne,Skilled Worker
Security software,1238040.0,INSIGHT DIRECT (UK) LTD,2024-03-20,INSIGHT DIRECT (UK) LTD,Sheffield,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
HVO Fuel,290000.0,WP GROUP LIMITED,2024-03-01,WSP GROUP LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,NEW SHEPHERD CARE LIMITED,2023-11-29,NEW SHEPHERD CARE LIMITED,Watford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CONCORD CARE SERVICES LTD,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,GREEN ARROW CARE PROVIDERS LIMITED,2023-11-29,GREEN ARROW CARE PROVIDERS LIMITED,Hackney,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CLIFTON CARE SERVICES LIMITED,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SIMPLIFIED STAFFING LIMITED,2023-11-29,SIMPLIFIED STAFFING LIMITED,Mitcham,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PARAGON CARE AND LOCUM PARTNERSHIP LIMITED,2023-11-29,AA PARTNERSHIP LIMITED,Epsom,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,BEST AT HOME DOMICILIARY CARE SERVICES LTD,2023-11-29,BEST AT HOME DOMICILIARY CARE SERVICES LTD,Mitcham,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ALPHA CARE AND SUPPORT SERVICES LIMITED,2023-11-29,ALPHA CARE AND SUPPORT SERVICES LIMITED,Ealing,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,REDYFNE RECRUITMENT AND STAFFING LIMITED,2023-11-29,MH RECRUITMENT LIMITED,Staines,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,REAL HOMECARE LIMITED,2023-11-29,REAL HOMECARE LIMITED,Tottenham,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,WOODBERRY CARE LTD,2023-11-29,WOODBERRY CARE LTD,LONDON,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CLOVER SUPPORT GROUP LTD,2023-11-29,CLOVER SUPPORT GROUP LTD,Harlow,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,VITAL CARE AND SUPPORT LTD,2023-11-29,VITAL CARE AND SUPPORT LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PRIORY NURSING AGENCY AND HOMECARE LIMITED,2023-11-29,PRIORY NURSING AGENCY & HOMECARE LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ADAMS CARE LTD,2023-11-29,ADAMS CARE LTD,Chingford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,NEMA HOME CARE LIMITED,2023-11-29,NEMA HOME CARE LIMITED,Essex,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,HH CARE SERVICES LTD,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,QH CARE SERVICES LIMITED,2023-11-29,QH CARE SERVICES LIMITED,Wallington,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SUPPORTING CARE NORTH EAST BRANCH LTD,2023-11-29,SUPPORTING CARE NORTH EAST BRANCH LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,OAKTREE HOMECARE SERVICES LIMITED,2023-11-29,MNA HOMECARE SERVICES LIMITED,Greenford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,KAEDI RECRUITMENT AGENCY LTD,2023-11-29,KAEDI RECRUITMENT AGENCY LTD,Finchley,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,NAVARROS CARE LIMITED,2023-11-29,NAVARROS CARE LIMITED T/A WALFINCH EAST BARNET,London ,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,KOME CARE LTD,2023-11-29,KOME CARE LTD,Bexleyheath,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,BLOOMSCARE LTD,2023-11-29,BLOOMSCARE LTD,Dagenham,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,KOPE-MEDICS LTD,2023-11-29,KOPE-MEDICS LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,DION CARE SERVICES LIMITED,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ANGELIC HEALTHCARE SERVICES LIMITED,2023-11-29,S & S HEALTHCARE LIMITED,Sheffield,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CIRCLE CARE LTD,2023-11-29,CARE CIRCLE LTD,Newmarket,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,METROPOLITAN CARE SERVICES LIMITED,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SHREEJI INC LTD,2023-11-29,SHREEJI INC LTD,Rainham,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,WILLOW CARE & SUPPORT LTD,2023-11-29,SUPPORT CARE LTD,Uxbridge,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,TRIPLE 3 HEALTHCARE GROUP LIMITED,2023-11-29,TRIPLE 3 HEALTHCARE GROUP LIMITED,Romford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SORTED HEALTHCARE LTD,2023-11-29,SORTED HEALTHCARE LTD.,Fleet,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ABOUTME CARE SERVICES LTD,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CONNECT NURSING LIMITED,2023-11-29,CONNECT NURSING LIMITED,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ANKSLEY LTD,2023-11-29,ANKSLEY LTD,Watford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,BMM CARE LTD,2023-11-29,BMM CARE LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PEOPLES CARE LIMITED,2023-11-29,PEOPLES LIMITED,Falkirk,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SUPPORTING CARE BARKING AND DAGENHAM LTD,2023-11-29,SUPPORTING CARE BARKING AND DAGENHAM LTD,BARKING,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PHOENIX CARE (HAVERING) LIMITED,2023-11-29,PHOENIX CARE HAVERING LIMITED,ROMFORD,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,JOTHNO CARE AND SUPPORT LTD,2023-11-29,SUPPORT CARE LTD,Uxbridge,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,FIRST IN CARE SERVICES LTD,2023-11-29,FIRST IN CARE SERVICES LTD,Portsmouth,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CALMLIVING HEALTHCARE LIMITED,2023-11-29,S & S HEALTHCARE LIMITED,Sheffield,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SOCIAL CARE CONSORTIUM LTD,2023-11-29,SOCIAL CARE CONSORTIUM,North Finchley,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,HATSZZ PRESTIGE CARE LIMITED,2023-11-29,HATSZZ PRESTIGE CARE LIMITED,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,MERAKI UNIQUE CARE LIMITED - TRADING AS MY HOMECARE REDBRIDGE,2023-11-29,CARE UNIQUE LIMITED,Bradford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,JOTHBEL CARE SERVICES LIMITED,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PRIMERA ASSISTED LIVING LIMITED,2023-11-29,PRIMERA ASSISTED LIVING LIMITED,Birmingham,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PRIORY CARE SERVICES LTD,2023-11-29,PRIORY CARE SERVICES LTD,South Croydon,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SUPPORTING CARE LTD,2023-11-29,SUPPORTING CARE LTD,LONDON,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,EVERGREEN HOMECARE SERVICES LTD.,2023-11-29,EVERGREEN HOMECARE SERVICES LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,KT'S CARE ANGELS LTD,2023-11-29,KT'S CARE ANGELS LTD,Hatch End,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,MISSION HEALTH UK LIMITED,2023-11-29,MISSION HEALTH UK LIMITED,Dartford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,TRINITY CARE SERVICES LIMITED,2023-11-29,TRINITY CARE SERVICES LIMITED,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,DAIMA GLOBAL LIMITED,2023-11-29,DAIMA GLOBAL LIMITED,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CARELAND HEALTHCARE SERVICES LTD,2023-11-29,CARELAND HEALTHCARE SERVICES LTD,Woodford Green,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,NATION HOME CARE LIMITED,2023-11-29,EATON HOME CARE LIMITED,Cambridge,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,STAR MARIS HEALTHCARE LIMITED,2023-11-29,S & S HEALTHCARE LIMITED,Sheffield,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,LUU-BRIDGETS HEALTHCARE LIMITED,2023-11-29,LUU-BRIDGETS HEALTHCARE LIMITED,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,DENISE QUALITY CARE SERVICES LIMITED,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,KADARCARE SERVICE LTD,2023-11-29,KADARCARE SERVICE LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CARE QTERS LTD,2023-11-29,CARE QTERS LTD,Barking,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,JANKAN ENTERPRISE LIMITED,2023-11-29,JANKAN ENTERPRISE LIMITED,Harold Wood,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,IMMACULATE HEALTHCARE SERVICES  LIMITED,2023-11-29,IMMACULATE HEALTHCARE SERVICES LIMITED,Selsdon,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,TRUST CARE SOLUTIONS LTD,2023-11-29,TRUST CARE SOLUTIONS LTD,Chigwell,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PREMIER CARE SERVICES LTD,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,OLIVE HOME CARE & SUPPORT LIMITED,2023-11-29,SUPPORT 7 CARE LIMITED,Stoke -on-Trent,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ST MARGARET HEALTHCARE SERVICES LTD,2023-11-29,AA HEALTHCARE SERVICES LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,BARGAIN HEALTH CARE LTD,2023-11-29,BARGAIN HEALTH CARE LTD,Ilford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,BRIDGE CROSS CARE LTD,2023-11-29,BRIDGE CROSS CARE LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SGE CARE AND RECRUITMENT LIMITED,2023-11-29,DESTINY HEALTH CARE RECRUITMENT AND TRANING UK LIMITED,Dudley,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CEIBRAXS LIMITED,2023-11-29,CEIBRAXS LIMITED,LONDON,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,TREAL CARE UK LIMITED,2023-11-29,TREAL CARE UK LIMITED,Hornchurch,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,THE CORNHILL GROUP SERVICES LTD,2023-11-29,THE CORNHILL GROUP SERVICES LTD.,Grays,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,BILLIONCARE LTD,2023-11-29,BILLIONCARE LTD,Bromley,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,KAYOSKI CARE LTD,2023-11-29,KAYOSKI CARE LTD,Chigwell,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ANGELIQUECARE LTD,2023-11-29,ANGELIQUE CARE LTD,Ealing ,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,OPTIMUM CARE (GL) LIMITED,2023-11-29,OPTIMUM CARE GL LIMITED,BARKING,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,DELTA HOMECARE AND TRAINING SERVICES LTD,2023-11-29,AM HOMECARE SERVICES LTD,Wokingham,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CRYSTALIZE CARE SERVICES LTD,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,IJB HEALTHCARE LTD.,2023-11-29,IJB HEALTHCARE LTD.,Hornchurch,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SPRING CONSULT UK LTD,2023-11-29,SPRING CONSULT UK LTD,LONDON,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ELECT CARE CONSULTANTS LIMITED,2023-11-29,3V CONSULTANTS LIMITED,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,WHITE SWAN HEALTHCARE LIMITED,2023-11-29,WHITE SWAN HEALTHCARE LIMITED,East Ham,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,AUM CARE GROUP (UK) LTD,2023-11-29,AUM CARE GROUP (UK) LTD,Southall,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,JJR CARE LTD,2023-11-29,JJR CARE LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,UK INSTANT SERVICES LTD,2023-11-29,UK 1 SERVICES LTD,Bradford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ELEVEN SISTERS HEALTHCARE LIMITED,2023-11-29,ELEVEN SISTERS HEALTHCARE LIMITED,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,OLIVES HEALTHCARE SERVICES LTD,2023-11-29,OLIVES HEALTHCARE SERVICES LTD,Welling,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CAREMAX SUPPORT SERVICES LTD,2023-11-29,CAREMAX LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,MONIKS CARE SERVICES LTD,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ZINZIKO HEALTHCARE LIMITED,2023-11-29,S & S HEALTHCARE LIMITED,Sheffield,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,RENSTEP HEALTH CARE SERVICES LTD,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PERSONAL CARE SUPPORT LTD,2023-11-29,PERSONAL CARE SUPPORT LTD,RAINHAM,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,JOYOUS LIMITED,2023-11-29,JOYOUS LIMITED,Hayes,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,LIVINGWAYS CARE SERVICES LTD,2023-11-29,LIVINGWAYS CARE SERVICES LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,C & V INSPIRE TRAINING AND DEVELOPMENT CONSULTANCY LIMITED,2023-11-29,FS TRAINING AND CONSULTANCY LIMITED,Manchester,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PURE HEALTH CARE PVT LTD,2023-11-29,PURE HEALTH PVT LTD,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,VOW CARE SERVICES LIMITED,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,RA CARE SERVICES LIMITED,2023-11-29,RA CARE SERVICES LIMITED,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,FIRST PLATINUM CARE SERVICES LTD,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,UNICARE (LONDON) LIMITED,2023-11-29,LONDON CARE LIMITED,Nottingham,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,FOREVER CARE AGENCY LTD,2023-11-29,FOREVER CARE LTD,Rustington,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,SHELAGH CARE SERVICES LTD,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,PLUS CARE SERVICES LTD,2023-11-29,PLUS CARE SERVICES LTD,LONDONl,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,EXCELLENCE CARE LTD,2023-11-29,EXCELLENCE CARE LTD,Basildon,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,CALM CARE SOLUTIONS LTD,2023-11-29,CAS CARE SOLUTIONS LTD.,New Milton,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,LEXWIN TRADING LTD,2023-11-29,LEXWIN TRADING LTD T/A ANGELS PLACE HEALTH AND SOCIAL CARE,Orpington,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,ASK CARE LIMITED,2023-11-29,ASK CARE LIMITED,Ilford,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,EGH CARE SERVICES LIMITED,2023-11-29,CARE SERVICES,Solihull,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,IMMEDIATE SOCIAL CARE LIMITED,2023-11-29,SOCIAL CARE 4U LIMITED,LONDON,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,KANSSAS HOME CARE LTD,2023-11-29,HOME CARE HOME LTD,Nottingham,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,DAMA TECH LTD.,2023-11-29,DAMA TECH LTD. TRADING AS KARE PLUS KINGSTON,Kingston Upon Thames,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,AQT LONDON LIMITED,2023-11-29,AYT LONDON LIMITED,London,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,INSPIRE MANAGEMENT GROUP LTD,2023-11-29,INSPIRE MANAGEMENT GROUP LTD,Surbiton,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,BROOKS HEALTH AND CARE LIMITED,2023-11-29,CC HEALTH CARE LIMITED,"Southend - On - Sea,",Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,STELLAR HEALTHCARE SOLUTIONS LIMITED,2023-11-29,STELLAR HEALTHCARE SOLUTIONS LIMITED,Northolt,Skilled Worker
Standard Service Agreement JEOL-Royce Electron Microscopes 2023-2024,82000.0,JEOL(U.K.)LIMITED,2023-11-29,JEOL (U.K.) LIMITED,WELWYN GARDEN CITY,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,UBERTAS CARE HOMES LIMITED,2023-11-29,UBERTAS CARE HOMES LIMITED,Leicester,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,BBC CARE SERVICE LIMITED,2023-11-29,BBC CARE SERVICE LIMITED,HERSHAM ROAD,Skilled Worker
Pan-London Domiciliary Care AQP 2023,0.0,GREEN OLIVE CARE LTD,2023-11-29,GREEN OLIVE CARE LTD,Enfield ,Skilled Worker
