Contract_Title,Contract_Value,Supplier_Name,Award_Date,matched_sponsor,Town/City,Route
Nursing Agency Provision,999000.0,NISI ENTERPRISES LIMITED TRADING AS NISI STAFFING,2025-11-26,H3 ENTERPRISES LIMITED,Birkenhead,Skilled Worker
Healthy Leicestershire Digital Solution,384310.0,BOX UK,2025-11-25,BLACK BOX NETWORK SERVICES (UK) LIMITED,Reading ,Skilled Worker
Microsoft Licencing Renewal,354000.0,BYTES SOFTWARE SERVICES,2025-11-25,BYTES SOFTWARE SERVICES LIMITED,Leatherhead,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
BK5000 Ultrasound Transducer for Grantham and Lincoln Hospital Theatres,30000.0,GE HEALTHCARE LIMITED,2025-11-24,S & S HEALTHCARE LIMITED,Sheffield,Skilled Worker
"Provision of Case Assessment Reports for NCP, Specific Instance Assessment and F",25000.0,MILLS & REEVE LLP,2025-11-24,MILLS & REEVE LLP,Cambridge,Skilled Worker
SSTF1403 - 19/11/25 - AWARD,49418.55,EXECUTIVE PRIVATE HIRE (EPH) LTD T/A CABS4U,2025-11-24,T&T PRIVATE HIRE LTD,St. Ives,Skilled Worker
GB-St. Helens: Marketing and Print - Outgoing Mail,2320000.0,CONTINUOUS DATAPRINT (U.K.) LIMITED,2025-11-21,U & K LIMITED,London,Skilled Worker
Toot Hill School - PCSA (con_29680),4947143.22,BOWMER & KIRKLAND LTD,2025-11-18,BOWMER & KIRKLAND LTD,Belper,Skilled Worker
Highway Material Suppliers further competition (against DPS6269),1800000.0,TARMAC TRADING LIMITED (ALSO TRADING AS ABLEMIX),2025-11-17,TARMAC TRADING LIMITED,Solihull,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Highway Material Suppliers further competition (against DPS6269),1800000.0,HOLCIM UK LIMITED,2025-11-17,HOLCIM UK LIMITED,Markfield,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Highway Material Suppliers further competition (against DPS6269),1800000.0,JOHN HUGHES HAULAGE LIMITED,2025-11-17,B HAULAGE LIMITED,Kent ,Skilled Worker
PDF Framework - A120 EB Coggeshall By-Pass Resurfacing SDF RR,164285.24,FM CONWAY,2025-11-13,FM CONWAY LIMITED,Sevenoaks ,Skilled Worker
DEO Edinburgh Garrison Design and Build North Region,142065182.0,JOHN GRAHAM CONSTRUCTION LIMITED,2025-11-11,JOHN GRAHAM CONSTRUCTION LIMITED,Hillsborough,Skilled Worker
Concessionary Travel,500000.0,NEC SOFTWARE SOLUTIONS,2025-11-10,NEC SOFTWARE SOLUTIONS UK LTD,Hemel Hempstead,Skilled Worker
36624 - Elmbrook School,32760.0,EVEREST TAXIS,2025-11-10,EVEREST TAXIS LIMITED,Leicester,Skilled Worker
Connection of Flax Place to the Leeds PIPES network,289436.37,VITAL ENERGI UTILITIES LTD,2025-11-10,VITAL ENERGI UTILITIES LTD,Blackburn,Skilled Worker
Archaeological Framework - Fragile Assets Assessment,496855.0,ARCHAEOLOGICAL MANAGEMENT SOLUTIONS,2025-11-10,ARCHAEOLOGICAL MANAGEMENT SOLUTIONS LTD (AMS),"York,",Skilled Worker
Extension of contract for Smartcard Services for English National Concessionary Fares and associated Services,436000.0,EUCLID LIMITED,2025-11-10,EUCLID TRANSACTIONAL UK LIMITED,London,Skilled Worker
CCHA Fire Door Replacement Project 25-26,309764.73,CLC CONTRACTORS LIMITED,2025-11-10,MK CONTRACTORS LIMITED,Bedfordshire,Skilled Worker
CPT_25_27 - Social media analytics and listening 2025-27,64800.0,PULSAR,2025-11-08,PULSAR CONSULTING LTD,Yateley,Skilled Worker
684 - Wigan Beech Hill Active Travel Scheme,57600.0,WSP UK LIMITED,2025-11-07,KWS UK LIMITED,Royston ,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
General Building Works (Major Work Voids),500000.0,TOTAL CONSTRUCTION NE LTD,2025-11-07,CONSTRUCTION 5 LTD.,Leicester,Skilled Worker
Liverpool Clean Air Plan - Monitoring & Evaluation,526176.63,CITY SCIENCE CORPORATION LIMITED,2025-11-06,CITY SCIENCE CORPORATION LIMITED,Exeter,Skilled Worker
RDE966 - CECAN Fellowship Evaluation Project,15300.0,ICF CONSULTING SERVICES LIMITED,2025-11-06,ICF CONSULTING SERVICES LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Tenants' Contents Insurance Jan26 - South Derbyshire District Council - awarded,21407.57,ROYAL AND SUN ALLIANCE INSURANCE LIMITED,2025-11-04,SUN & SUN LIMITED,ENFIELD,Skilled Worker
Procurement Support Roles for the Consultancy and Skilled Persons Framework,313014.0,CAPITA BUSINESS SERVICES LTD,2025-11-03,D&D BUSINESS SERVICES LTD,Leeds,Skilled Worker
Horticultural Services Contract,600000.0,TIVOLI,2025-11-01,SAINTS HARDWARE LIMITED T/A TIVOLI TRADING,Cheltenham,Skilled Worker
Project management tool,29998.0,ASANA SOFTWARE UK LIMITED,2025-10-31,ASANA SOFTWARE UK LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
LEASE AND SUPPORT OF MULTI-FUNCTIONAL DEVICES (MFDS) WITH PRINT MANAGEMENT SOFTWARE,41796.0,RICOH UK LTD,2025-10-31,RICOH UK,Northampton,Skilled Worker
Financial Planning & Forecasting Software,1912190.18,ANAPLAN LIMITED,2025-10-31,ANAPLAN LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
IT Business Analyst,61200.0,SEARCH CONSULTANCY LIMITED,2025-10-31,K2 CONSULTANCY LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
YHG Testing Services 25-27,1000000.0,EDGE TESTING SOLUTIONS LIMITED,2025-10-31,EDGE TESTING SOLUTIONS LIMITED,Glasgow,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Security Operations,511484.0,ASPIRE TECHNOLOGY SOLUTIONS LTD,2025-10-29,ASPIRE TECHNOLOGY LTD,Reading,Skilled Worker
Contract Award for the Provision of a Reablement App,225000.0,NEWTON CONSULTING LIMITED,2025-10-28,NEWTON CONSULTING LIMITED,Kingston Bagpuize,Skilled Worker
External Legal Services,870000.0,PINSENT MASONS LLP,2025-10-28,PINSENT MASONS LLP,Birmingham,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
External Legal Services,870000.0,BRODIES LLP,2025-10-28,BRODIES,Edinburgh,Skilled Worker
External Legal Services,870000.0,BEVAN BRITTAN LLP,2025-10-28,BEVAN BRITTAN LLP,Bristol,Skilled Worker
External Legal Services,870000.0,FREETHS LLP,2025-10-28,FREETHS LLP,Nottingham,Skilled Worker
External Legal Services,870000.0,BROWNE JACOBSON LLP,2025-10-28,BROWNE JACOBSON LLP,Nottingham,Skilled Worker
