Contract_Title,Contract_Value,Supplier_Name,Award_Date
36132 HINCKLEY HOUSE SCHOOL,83616.0,ASA TRANSPORT,2025-06-13
"Skills Bootcamp - Wave 6, Round 1 - Category 5, Construction, Planning and the Built Environment",424500.0,WISE TRAINING STREETWORKS & CONSTRUCTION LTD,2025-06-13
US_24153b - Patents and Other IP Rights Renewal Platform,95.0,WELLSPRING EMEA LTD,2025-06-13
CA15375 - The Howard Academy Trust Invitation to Tender for Network Infrastructure Replacement at Hurstmere School and Expansion/Enhancement of Wi-Fi Infrastructure at The Howard School,540221.47,TEL GROUP LTD,2025-06-13
CA14964 - CCSW - POS Tills Systems - ITT,52115.0,HAVEN SYSTEMS LTD,2025-06-13
Research and Creative Brief: Waste Management and Recycling in Liverpool,59540.0,INFLUENTIAL AGENCY LIMITED,2025-06-13
"QLT019 2025-06-12 (0900) Easton, Norwich to Sunrise Academy, Lowestoft (4 seated vehicle) - AWARD",2895.6,SPRY MANAGEMENT,2025-06-13
CLOSED BRANCH LINES MINOR WORKS - HRE - Helston - Gwinear Road - Lowertown Bridge - HEL 8m 18ch,1048750.0,HAMMOND (ECS) LTD,2025-06-13
CON_27708 ServiceNow Implementation Partner,269992.0,DEVOTEAM LTD,2025-06-13
SAD/68 - Somerset and Dorset (Bath - Templecombe),7513630.0,HAMMOND (ECS) LTD,2025-06-13
Highways Sponsorship Signage,30000.0,KINGSTAL LIMITED,2025-06-13
LSF - Lot 2 (DA) - Fair Oak Infant School - Removal and Repair of Log Retaining Wall - AWARD,41336.65,SCANDOR LANDSCAPE CONTRACTORS LTD,2025-06-13
Southwater Tree Survey (Nov 2024) Identified Works - Tranche 2,22695.0,OXLEAS TREE CARE LTD,2025-06-13
Board Management Software,85377.6,AZEUS UK LIMITED,2025-06-13
LSF - Lot 2 - Clanfield Junior School - Pool Decommission - AWARD,54335.2,SGC PROJECTS LIMITED,2025-06-13
"Skills Bootcamp - Wave 6, Round 1 - Category 6, Information and Communication Technology (ICT)",1072500.0,THE SKILLS NETWORK LIMITED,2025-06-13
"Skills Bootcamp - Wave 6, Round 1 - Category 6, Information and Communication Technology (ICT)",1072500.0,CONNEXIN LIMITED,2025-06-13
Redbridge Schools cleaning Tender,778317.0,ATLAS FM LIMITED,2025-06-12
Redbridge Schools cleaning Tender,716985.0,ATLAS FM LIMITED,2025-06-12
Redbridge Schools cleaning Tender,397848.0,ATLAS FM LIMITED,2025-06-12
Redbridge Schools cleaning Tender,1001901.0,ATLAS FM LIMITED,2025-06-12
Fleet Services Contract Extension,97775.52,LEASEPLAN UK LIMITED,2025-06-12
GB-Liverpool: LW123 Carbon Management Support,30000.0,CARBON GREEN LTD,2025-06-12
Wind Tunnel Hire,47462.4,SILSOE SPRAY APPLICATIONS UNIT LIMITED,2025-06-12
Call Off Contract for an Email Communications Platform,75650.0,FORFRONT LTD,2025-06-11
Fire Door Surveys - Trustwide,212200.0,INSTALRITE DESIGN LTD,2025-06-11
713225450 - CARP Testing and Exercising,922988.0,DELOITTE LLP,2025-06-11
AT1380 Call monitoring Service  for Dispersed Digital Alarms and Sheltered Housing Schemes,329940.0,CAREIUM UK LTD,2025-06-10
RDE520 Life cycle assessment (LCA) of bovine tuberculosis on greenhouse gas emis,105524.6,SRUC,2025-06-10
External Financial Advisory Support for Existing Nuclear Projects,1000000.0,PA CONSULTING GROUP LIMITED,2025-06-10
Windows 11 Laptops for 2025/26,945280.0,XMA LIMITED,2025-06-09
Heating and Plumbing Materials,200000.0,TURNBULL AND COMPANY LIMITED,2025-06-09
GB-Sheffield: IT Contract Resource,100000.0,XMA LTD,2025-06-09
Biological Services- Models Cryopreservation of MHRA Breeding Stock,80000.0,CHARLES RIVER U.K. LIMITED,2025-06-09
Sterility Testing services,30000.0,READING SCIENTIFIC SERVICES LIMITED,2025-06-06
Cornwall Badger Vaccination Pilot,1370231.07,NFU,2025-06-06
Gwladys Street Primary Juniors - Phase 2 Heating & Drainage,140941.31,SENATE MECH LTD.,2025-06-06
THRE02-B07 Technical Advisors to support the Rail Contract Projects,41400.0,OVE ARUP & PARTNERS LTD,2025-06-06
NHS Login Transform 2,16250000.0,HIPPO DIGITAL LIMITED,2025-06-06
Gates - Lambeth HQ - Lot 1,249253.5,AXIS EUROPE,2025-06-06
"Ages of Invention Gallery  Lead Designer, Architect,  Exhibition Designer - AWARD",370475.0,LAWSON WARD STUDIO,2025-06-05
Bridge Inspections,700000.0,WATERMAN ASPEN LTD,2025-06-05
CEF02-package 4 - Cost estimating support from Benchmark Estimating for FY 25/26 on various current and future RIS projects,700000.0,BENCHMARK ESTIMATING LIMITED,2025-06-05
Contract for Provision of MODICM Study Support KCL,35408.67,KING'S COLLEGE LONDON BUSINESS LIMITED,2025-06-04
Young Adults Service - Supporting those aged 17 to 24 years (mental health),1535000.0,DERBYSHIRE FEDERATION FOR MENTAL HEALTH,2025-06-04
Front Gates - Lambeth Lot 2,267312.09,AXIS EUROPE,2025-06-02
The Provision of Opportunities to Improve Attainment and Engage Vulnerable Children and Young People in Education Contract Awards,770.0,DRAGON FOOTBALL ACADEMY LTD,2025-06-02
BSMHFT Probrand Data Cabling,100000.0,PROBRAND LIMITED,2025-06-02
Front Gates - Colindale,244702.92,CONISTON,2025-06-01
Provision of Independent Freedom To Speak Up  Guardian Service,149698.46,THE GUARDIAN SERVICE,2025-06-01
Front Gates - Charing Cross,371371.52,CONISTON,2025-06-01
Front Gates - Islington,216424.2,CONISTON,2025-06-01
North Northamptonshire Council Provision for Cashless Parking Payments,40000.0,PAYBYPHONE LIMITED,2025-05-31
Consultancy - Workstream lead,195781.51,CONSULTANCY+,2025-05-30
CISCO Network Equipment Maintenance - AWARD,67448.36,LOGICALISUK LIMITED,2025-05-30
"Harborough, Charnwood and NW Leicestershire Phase 3 LBS and DDRT Tender",5303500.0,ARRIVA MIDLANDS LTD,2025-05-29
the Local Government Reorganisation (LGR) and Devolution Consultant,53688.01,JIGSAW BOX CONSULTING LIMITED,2025-05-29
"Harborough, Charnwood and NW Leicestershire Phase 3 LBS and DDRT Tender",5303500.0,CENTREBUS,2025-05-29
SPS 2777 - Major and Responsive Repairs and Void Refurbishment Contract,56000000.0,T BROWN GROUP,2025-05-29
SPS 2777 - Major and Responsive Repairs and Void Refurbishment Contract,56000000.0,PURDY CONTRACTS LTD,2025-05-29
SPS 2777 - Major and Responsive Repairs and Void Refurbishment Contract,56000000.0,GILMARTINS LTD,2025-05-29
SPS 2777 - Major and Responsive Repairs and Void Refurbishment Contract,56000000.0,AXIS EUROPE PLC,2025-05-29
"Harborough, Charnwood and NW Leicestershire Phase 3 LBS and DDRT Tender",5303500.0,LA TRAVEL (MIDLANDS) LTD,2025-05-29
Provision of taxi services and car hire at the British High Commission - Kigali,27000.0,KINGFISHER TOURS LIMITED,2025-05-28
Corner Plot - EA & QS,49639.5,WALKER SIME LTD,2025-05-28
Loughborough Town Phase 3 LBS Tender Round 4 (Route 3/13 & 5A),31968.0,VECTARE LIMITED,2025-05-28
CPG/12536/2025 - CAPEX 2025 Land Rover for the British Embassy in Montevideo,65831.2,FCDO SERVICES,2025-05-28
PDF Framework - M4 EB J13-12 Frilsham - J12 - AA Work Brief (M4 EB J13-12 Frilsham - Tidmarsh & M4 EB J13-12 Tidmarsh - J12),4157704.29,ASSOCIATED ASPHALT CONTRACTING LIMITED,2025-05-27
Award of a call off contract under the Prison Education Dynamic Purchasing System for the delivery of Training and Qualifications in the Bakery at HMP Brixton,51000.0,THE CLINK CHARITY,2025-05-27
Water Treatment Plant,125639.03,PROECONOMY LIMITED,2025-05-26
Corporate Hire Car Insurance Renewal 2025/2026,44427.0,MARSH COMMERCIAL,2025-05-26
Contract Award Notice Detection Maintenance and Consumables 2024 Extension (December),89524.0,RAPISCAN SYSTEMS LTD,2025-05-22
"Edgware Hospital - Healthcare Planning, Construction Consultancy and Ancillary Services.",40000.0,DREES AND SOMMER UK LIMITED,2025-05-22
Canon Infinix Maintenance,102939.68,CANON MEDICAL SYSTEMS LIMITED,2025-05-21
Provision of Staff to deliver Training and consultancy work in Maritime Simulators.,240000.0,CASTLE MARINE CONSULTANCY,2025-05-21
Provision of Staff to deliver Training and consultancy work in Maritime Simulators.,240000.0,CM MARINE LIMITED,2025-05-21
Specialist Works Framework - Lot 2 71 Thorpe Lane,5408.5,ALLERTON DAMP-PROOFING LIMITED,2025-05-20
UKSBS ServiceNow renewal,910698.12,SOFTCAT PLC,2025-05-20
Consultancy - HR/Payroll SME,128953.99,CONSULTANCY+,2025-05-20
Provision of HR and other support services to the One Programme,144000.0,QUITE LATERALLY LTD,2025-05-18
BSMHFT Shared Care Record,1650284.0,INTERSYSTEMS CORPORATION (UK),2025-05-15
Solar Panel Installations,0.0,SMART ELECTRONIC TECHNOLOGIES LTD T/A ENERGY EFFICENT SOLOUTIONS,2025-05-14
CA15849 - Dixons Academies Trust - Legal Services,100000.0,HILL DICKINSON LLP,2025-05-14
Business Travel (via SUPC Framework Agreement),12000000.0,DIVERSITY TRAVEL LIMITED,2025-05-14
EXTENSION YAS 10 2022_23 Provision of Clinical & Domestic Waste,805312.8,MITIE WASTE & ENVIRONMENTAL SERVICES LIMITED,2025-05-14
PDF Framework - M6 J21a - 26 L2 & 3 - 616513,2384755.87,TARMAC TRADING LTD,2025-05-14
MWF Lot 1 Fareham Day Services Horticultural Unit - External Works  - AWARD,21606.0,TEW BROTHERS LTD,2025-05-14
HRE - CLOSED BRANCH LINES MINOR WORKS - BUI/37 Quinny Brook 10' culvert at Marshbrook - Scour coring works.,15593.1,AMCO,2025-05-14
CST025-088 Provision of Apprenticeship (Payroll Administrator Level 3),30000.0,MBKB TRAINING AND DEVELOPMENT,2025-05-14
MESMAC - Fast-Track Cities Community Grants,10000.0,YORKSHIRE MESMAC,2025-05-14
MWF - Lot 7 - Wolverdene Special School - Emergency Lighting Upgrade - AWARD,21822.52,GREEN BUILDING MAINTENANCE LIMITED,2025-05-14
YAS 49 2025_26 Hull Demolition & Strip Out Works,84522.6,UDCS LTD,2025-05-14
ESC048/2025 Middlesbrough Programmed Footway Works 2024/2025,70000.0,TARMAC TRADING LIMITED,2025-05-14
Energy Bureau Services,226000.0,SMS ENERGY SERVICES LIMITED,2025-05-14
Canine Currency Detection Research,149830.0,BOURNEMOUTH UNIVERSITY,2025-05-14
MWF Lot 2 DA - Haven Childrens Centre - Emergency Lighting Upgrade - AWARD,24197.47,RIGFONE ELECTRICS LTD,2025-05-14
TC040- Surfacing of Carriageways and Footways Framework,48000000.0,J. HOPKINS (CONTRACTORS) LIMITED,2025-05-13
TC040- Surfacing of Carriageways and Footways Framework,48000000.0,MULITPAVE (NW) LIMITED,2025-05-13
JFrog Enterprise Edition Renewal 2025,38476.17,TRUSTMARQUE SOLUTIONS LIMITED,2025-05-13
Future Sheffield Transformation Programme SoW 2025-001,1404000.0,PRICEWATERHOUSECOOPERS LLP (PWC),2025-05-13
TC040- Surfacing of Carriageways and Footways Framework,48000000.0,TARMAC TRADING LIMITED,2025-05-13
ITT for project 10154260,7975.0,STARMED CONSULT LIMITED,2025-05-13
CWC24014B - Westacres and Christchurch C of E Primary School - Modular Buildings Purchase,1002511.0,WINDWARD LTD T/A COTAPLAN,2025-05-13
"ITT for Project 600656, 600655, 600654, 600652",29600.0,MAPLETONAV LTD,2025-05-12
NC760 Window and High Level Cleaning,300000.0,ANTAC SUPPORT SERVICES LTD,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,INSTITUTE OF DIRECTORS,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,FOCUS GAMES LTD T/A FOCUS,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,ACCELER8 GLOBAL LTD,2025-05-12
Lease of x3 Nissan Primaster Tekna l2 H1 Crew cabs,117021.6,ATHLON MOBILITY SERVICES UK LIMITED,2025-05-12
icrosoft Word Co-authoring Support &  Hypercare,34560.0,BROCHET LIMITED,2025-05-12
ITT for Project 600673,10200.0,ZEC CONSULTANCY LTD,2025-05-12
"ITT for Project 600645, 600641",17160.0,MAYFLOWER INNOVATION LIMITED,2025-05-12
5 Year Lease of a Man TGE 3 Van,44797.8,LEX AUTOLEASE LIMITED,2025-05-12
ITT for Project 600668,8600.0,KESTON TECHNOLOGIES LTD,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,OPTIMA TRAINING AND  CONSULTANCY,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,THE UNIVERSITY OF KENT,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,REAL GROUP LTD,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,KPMG LLP,2025-05-12
"ITT for Project 600669, 600666",12400.0,JOSS NEWBERRY,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,ME LEARNING LTD,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,OPEN ELMS LTD,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,REED LEARNING LTD,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,BIP GROUP,2025-05-12
Refurbishment and Repairs to Vacant Properties (Voids),17268026.3,T GILMARTIN LIMITED,2025-05-12
Refurbishment and Repairs to Vacant Properties (Voids),17268026.3,CARDO (WALES & WEST) LIMITED,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,THE HUMAN EDGE GROUP LTD,2025-05-12
WNC Mystery Traveller Consultancy Service,26410.4,SYSTRA LTD,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,PREMIER PEOPLE SOLUTIONS LTD T/A PREMIER PARTNERSHIP,2025-05-12
Microsoft Word Co-authoring Support &  Hypercare,34560.0,BROCHET LIMITED,2025-05-12
"Supply of Training, Learning and Development Solutions",1.0,ASTUTIS LTD,2025-05-12
System Integration and Programme Management Services,36000000.0,CAPGEMINI UK PLC,2025-05-09
"ITT for Project 600644, 600642",16000.0,MAPLETONAV LTD,2025-05-09
"ITT for Project 600648, 600647",15200.0,SANDHILLS MANAGEMENT CONSULTANCY LIMITED,2025-05-09
ITT for project 10150158,4450.0,CARROLL PHARMA CONSULTING,2025-05-08
HMLR701120 - SCS Recruitment - Product and Service Design.,20495.0,GLOBAL RESOURCING LTD,2025-05-07
ITT for project 10150169,4700.0,JOSS NEWBERRY,2025-05-07
HMLR701096 - SCS Recruitment - Product and Service Design.,20495.0,GLOBAL RESOURCING LTD,2025-05-07
ITT for project 10151217,5300.0,STARMED CONSULT LIMITED,2025-05-07
THM - AOMR Lot 1 - Temple Footbridge Centre Span Removal,176119.37,JACKSON CIVIL ENGINEERING LIMITED,2025-05-07
"ITT for project 10150448, 10148137, 10150104, 10149027, 10150547",26800.0,JOSS NEWBERRY,2025-05-07
ITT for project 10150344,5300.0,JOSS NEWBERRY,2025-05-06
"Lot 2-056 Scunthorpe, Messingham Rd,Angerstein Rd, Rochdale Rd Pedestrian Count",745.0,WATERMANS INFRASTRUCTURE & ENVIRONMENT LTD,2025-05-06
Wigan Council Stock Condition Surveys 2025-28,4167117.87,PENNINGTON CHOICES,2025-05-06
Managed Service Provider (MSP) Staffing,30000000.0,ADECCO UK LIMITED,2025-05-06
"The Provision of Leisure Services at Sevenoaks Leisure Centre, Edenbridge Leisure Centre and Lullingstone Park Golf Course",2036000.0,SPORTS & LEISURE MANAGEMENT LTD,2025-05-06
Replacement of boilers at Mill Court and Davie Court - Kent Schemes,267715.8,CLAIRGLOW HEATING LIMITED,2025-05-06
Wigan Council - Planned Cyclical Maintenance,22092511.98,A.CONNOLLY,2025-05-05
Wigan Council - Planned Cyclical Maintenance,22092511.98,BAAS CONSTRUCTION,2025-05-05
Wigan Council - Planned Cyclical Maintenance,7364170.66,A.CONNOLLY,2025-05-05
Wigan Council - Planned Cyclical Maintenance,7364170.66,BAAS CONSTRUCTION,2025-05-05
HMLR701096 - SCS Recruitment (Full Search) - Customer Services and Legal Services,55000.0,GATENBYSANDERSON LIMITED,2025-05-02
Nursing Agency Provision,999000.0,YOUR WORLD NURSING LIMITED,2025-05-01
CWC24168 - Northwood Park Improvements,334303.32,JP LANDSCAPES & CONSTRUCTION LTD,2025-05-01
"Specialist Works Framework - Lot 1 11 Laverhills, Liversedge",11485.1,ALLERTON DAMP-PROOFING LIMITED,2025-05-01
"Renewable Heating Systems - Servicing, Maintenance, Repairs & Installation",1500000.0,LOW CARBON EXCHANGE LIMITED,2025-05-01
"Specialist Works Framework - Lot 1 32 Crawthorne Crescent, Deighton",18752.07,ALLERTON DAMP-PROOFING LIMITED,2025-05-01
HMLR701104 - Legal Advice Service,20000.0,WARD HADAWAY LLP,2025-05-01
e-Signatures and e-Sealing for contracts,70912.19,NODE 4 LTD,2025-04-30
Award of a call off contract under the Prison Education Dynamic Purchasing System for Older Offender and Neurodiversity support for Prisoners at HMP Leyhill,162917.0,REHABILITATION CULTURE CIC LTD,2025-04-30
Security Provision - Broad Marsh,303690.76,HARTNELL TAYLOR COOK LLP,2025-04-30
Subscription Based Research Services,136450.0,GARTNER UK LIMITED,2025-04-30
Central Contract for Specialist Recruitment,200000.0,STARFISH SEARCH LIMITED,2025-04-28
RUG - 21294,70000.0,MEMSAFE LIMITED,2025-04-24
RUG - Memorial Safety,70000.0,MEMSAFE LIMITED,2025-04-24
HO Second Further Extension SSCL/BPO,43485000.0,SHARED SERVICES CONNECTED LTD (SSCL),2025-04-24
Endoscopy Track and Trace,41770.5,AEXIS MEDICAL BV,2025-04-23
"Complex Project Works, Major Voids, Major / Long-term Decants, Insurance Works, and Equipment & Adaptations for London, Kent, Sussex, Hampshire",780000.0,CORIN DUDLEY ELECTRICAL SERVICES LIMITED,2025-04-23
PLACE762ET Adult Care Transport A01192/CH25,32760.0,WATCHORN TAXIS,2025-04-23
Award of a Call of Contract under the Prison Education Dynamic Purchasing System for CSCS Training for Prisoners at HMP Wandsworth,37429.0,KAREN MACKEY CONSULTANTS,2025-04-23
SKDC Upgrade to Adelante SmartPay 6 - Income Management and Cash Receipting,124649.49,ADELANTE SOFTWARE LTD,2025-04-21
Internal Audit Services,115000.0,H W CONTROLS & ASSURANCE LTD (TRADING AS VALIDERA),2025-04-16
618467 A628 Crowden to Salters Brook Pavement,3863490.92,TARMAC TRADING LIMITED,2025-04-16
"Lot 2 - 054 Haxey, Blackmoor Bridge",22950.0,WATERMANS INFRASTRUCTURE & ENVIRONMENT LTD,2025-04-16
Transport Professional Services Framework (2025),120000000.0,WARD HADAWAY LLP,2025-04-15
Transport Professional Services Framework (2025),120000000.0,WEIGHTMANS LLP,2025-04-15
Transport Professional Services Framework (2025),120000000.0,ERNST & YOUNG LLP,2025-04-15
Transport Professional Services Framework (2025),120000000.0,TURNER & TOWNSEND INFRASTRUCTURE LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,WILDE CONSULTANTS LTD,2025-04-15
Transport Professional Services Framework (2025),120000000.0,IPSOS LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,GLEEDS COST MANAGEMENT LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,EGIS UK - CONSULTING AND ENGINEERING LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,DLA PIPER UK LLP,2025-04-15
Transport Professional Services Framework (2025),120000000.0,TRACSIS TRAFFIC DATA LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,GRANT THORNTON UK LLP,2025-04-15
Transport Professional Services Framework (2025),120000000.0,JACOBS U.K LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,STEER DAVIES & GLEAVE LTD,2025-04-15
Transport Professional Services Framework (2025),120000000.0,PLUSWORK LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,OVE ARUP & PARTNERS LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,PHIL JONES ASSOCIATES LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,NATIONWIDE DATA COLLECTION LTD,2025-04-15
Transport Professional Services Framework (2025),120000000.0,MOTT MACDONALD LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,PINSENT MASONS LLP,2025-04-15
Transport Professional Services Framework (2025),120000000.0,MACE CONSULT LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,LAMBERT SMITH HAMPTON GROUP LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,STANTEC UK LTD,2025-04-15
Transport Professional Services Framework (2025),120000000.0,RSK ENVIRONMENT LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,KPMG LLP,2025-04-15
Transport Professional Services Framework (2025),120000000.0,SAVANTA GROUP LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,JONES LANG LASALLE LTD,2025-04-15
Transport Professional Services Framework (2025),120000000.0,CURRIE & BROWN UK LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,CITISENSE LTD,2025-04-15
Transport Professional Services Framework (2025),120000000.0,DJS RESEARCH LTD,2025-04-15
Transport Professional Services Framework (2025),120000000.0,PELL FRISCHMANN CONSULTANTS LTD,2025-04-15
Transport Professional Services Framework (2025),120000000.0,BDRC CONTINENTAL LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,ATKINSRÉALIS UK LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,ARCADIS CONSULTING (UK) LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,CBRE LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,BRUTON KNOWLES LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,WSP UK LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,BWB CONSULTING LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,AECOM LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,ARDENT MANAGEMENT LIMITED,2025-04-15
Transport Professional Services Framework (2025),120000000.0,ADDLESHAW GODDARD LLP,2025-04-15
P4104103 Legal Advisers for the Future Borders Policy Team,45000.0,DLA PIPER UK LLP,2025-04-14
CA15682 - MAINT6580 - RFL - Brevera biopsy system BVB00104 for the period 19.3.25 - 30.9.27. maintenance contract,10177.99,HOLOGIC LTD.,2025-04-14
200 Monday Pro Seats,40800.0,THE SAASY PEOPLE LTD,2025-04-14
Utilities Bureau and Software Platform - AWARD,0.0,SMS ENERGY SERVICES LIMITED,2025-04-14
"AWE005 0900 2025-04-14 Leiston to Potsford Farm, Wickham Market Road Letheringham Suffolk IP13 0NB (4-seater vehicle required) - AWARD",9085.44,A R CARS LTD,2025-04-14
GSCIP Datasets: Lot 1 Generalist Company and Supply Level Data - S&P,840000.0,S&P GLOBAL LIMITED,2025-04-14
CA15131 - Callywith College; Student Transport Services Tender,486308.49,STAGECOACH DEVON LIMITED,2025-04-14
3360.197 Bus Feasibility Study,22950.0,INTEGRATED TRANSPORT PLANNING,2025-04-14
Award of Drug and Alcohol Related Death Management System,29400.0,JMU SERVICES LIMITED,2025-04-14
BD606DT Chipping Campden to Cheltenham,2626998.8,PULHAM & SONS COACHES LTD,2025-04-14
P4104017 - Legal Advisers for the STARThree Framework,200000.0,SHARPE PRITCHARD LLP,2025-04-14
ED0342-24 - Arcot Park - Heating and Fabric Upgrades,240978.92,BAGWELLS LTD,2025-04-14
SKDC Supply of Plastic Wheeled Bins (2 Wheeled),300000.0,(2)	IPL PLASTICS (UK) LTD,2025-04-11
Provision of Political Monitoring Services (NP 251) [PCR 2015] - AWARD,37500.0,DODS GROUP LIMITED,2025-04-10
"New Berwick Hospital - Patient examination couches, plinths and chairs",34750.06,MEDI-PLINTH EQUIPMENT LIMITED,2025-04-10
Refurbishment of Play Area,41931.71,KOMPAN LIMITED,2025-04-09
Building Retrofit & Refurbishment/Improvement Works Framework,37500000.0,WILLIAM BIRCH & SONS LTD,2025-04-08
Acton PS Wall Repair,229347.9,AXIS EUROPE PLC,2025-04-08
Building Retrofit & Refurbishment/Improvement Works Framework,37500000.0,YES ENERGY SOLUTIONS,2025-04-08
Building Retrofit & Refurbishment/Improvement Works Framework,37500000.0,BELL GROUP LIMITED,2025-04-08
Cash In Transit - Premises collection and Parking Machines,99000.0,RMS CASH SOLUTIONS LTD TRADING AS PIVOTAL,2025-04-08
TEST - DO NOT RESPOND - CFOR APR 2025 copy,1234567.0,BIP SOLUTIONS LTD,2025-04-08
Building Retrofit & Refurbishment/Improvement Works Framework,37500000.0,RE:GEN GROUP LIMITED,2025-04-08
LCF11 - Greenwood Academy - Pype Hayes Ward Site - AWARD,130650.0,HAYSTOUN CONSTRUCTION LTD,2025-04-08
Building Retrofit & Refurbishment/Improvement Works Framework,37500000.0,CLC CONTRACTORS LIMITED,2025-04-08
Building Retrofit & Refurbishment/Improvement Works Framework,37500000.0,TOM WILLOUGHBY LTD,2025-04-08
Ecological surveys,60000.0,RSK ENVIRONMENT LIMITED,2025-04-08
Building Retrofit & Refurbishment/Improvement Works Framework,37500000.0,BCS RENDER SYSTEMS LTD,2025-04-08
Building Retrofit & Refurbishment/Improvement Works Framework,37500000.0,SIMPSONS (YORK)LTD,2025-04-08
Project/Contract Maintenance contract for Carestream CS9600,88858.0,MEDRAY (UK) LIMITED,2025-04-07
CPU 7114- 29 - 31 NGY Castle Gate Refurbishment. Call off from [Scape] (Regional Construction Framework) Scape Regional Construction Framework 2022-2026 North East  Lot 3 £0 to £7.5m,596497.77,GF TOMLINSON BUILDING LIMITED,2025-04-07
EV Fuel Cards for BUS Vehicles  - AWARD,0.0,ALLSTAR BUSINESS SOLUTIONS LTD,2025-04-07
GB-Manchester: ACE 683 CCS - Senior Recruitment Campaign for Midlands Area Director,20000.0,GREEN PARK INTERIM AND EXECUTIVE LTD,2025-04-04
Homes England-Property and Financial Services Framework-Valuation Barking Riverside,45950.0,AVISON YOUNG,2025-04-04
Provision of First Response Vehicles,6422323.0,ANGLOCO LIMITED,2025-04-03
Appointment of an Occupational Health Provider,270000.0,HEALTH PARTNERS GROUP LIMITED,2025-04-03
PLACE758ET Adult Care Transport A01189/HP25,197064.0,BAKEWELL AND EYAM COMMUNITY TRANSPORT,2025-04-02
Salary Sacrifice Additional Voluntary Contributions,0.0,AVC WISE LIMITED,2025-04-02
3 year Lease of Renault Kangoo,19239.84,LEX AUTOLEASE LIMITED,2025-04-02
"PLAY AREA SURFACING REPLACEMENT AT POTTERSWOOD PARK AND BROOK MEADOW, BOREHAMWOOD - AWARD",77000.0,ABACUS PLAYGROUNDS LIMITED,2025-04-01
SUPPLY OF SHORT COURSES THAT ARE FUNDED THROUGH ADULT SKILLS FUND TO LEARNERS WITH DEVON AND TORBAY RESIDENTIAL POSTCODES.,141664.0,LEARNING CURVE GROUP LIMITED,2025-04-01
Adobe Licenses,96582.7,BYTES SOFTWARE SERVICES LTD,2025-04-01
SUPPLY OF SHORT COURSES THAT ARE FUNDED THROUGH ADULT SKILLS FUND TO LEARNERS WITH DEVON AND TORBAY RESIDENTIAL POSTCODES.,84000.0,SKILLS NETWORK,2025-04-01
MBC000542 Fleet Workshop Management IT System,134758.8,CHEVIN FLEET SOLUTIONS,2025-04-01
LPS CAS - Cleaning Services at Ribblesdale School (Secondary Provision) - LCC37488,970772.5,ORIAN SOLUTIONS LIMITED,2025-04-01
Bus Shelter Advertising Extension,3000000.0,BAUER MEDIA OUTDOOR UK LIMITED,2025-04-01
Palliative Medicine Consultant Sessions,23374.28,BARNSLEY HOSPICE,2025-04-01
New Berwick Hospital - Gym Equipment,41302.88,TECHNOGYM U.K. LIMITED,2025-04-01
Provision of Legal Services to DESNZ for GBE and other Arm's Length Bodies 2025 - 2027,2000000.0,SHARPE PRITCHARD LLP,2025-04-01
Electoral Management Software,56448.0,CIVICA UK LIMITED,2025-04-01
Procurement & Contract Management Software,220778.0,ATAMIS LIMITED,2025-04-01
