Contract_Title,Contract_Value,Supplier_Name,Award_Date
Gartner Research Services,298300.0,GARTNER UK LIMITED,2025-12-17
Home Office Connectivity,73384.0,VODAFONE LIMITED,2025-12-17
2025-070 AV Refresh - 10SC Arena,216601.85,CINOS LIMITED,2025-12-16
Learning Management System,79704.0,"OMNIPLEX LEARNING, OMNIPLEX (GROUP) LIMITED",2025-12-16
"QIP086 09:00 2025-12-16 Ipswich, Suffolk to Holbrook Academy, Holbrook, Suffolk - AWARD",29102.68,LOYAL EXPRESS CABS LTD,2025-12-16
EV Chargers Knoll Road Camberley,30000.0,CONNECTED KERB LIMITED,2025-12-15
The Provision of UKHSA - Agency Wide Contact Strategy - 25/26,98750.0,KPMG LLP,2025-12-15
Occupational Health and Employee Assistance Programme (OH/EAP) Services,314000.0,PEOPLE ASSET MANAGEMENT LTD,2025-12-15
CPT_25_20 - Thrive Learning Management System (LMS),210000.0,THRIVE LEARNING LIMITED,2025-12-15
SAN Storage and Server replacement,262589.97,DH OPCO UK LTD (DEDALUS),2025-12-12
PNC 053a - SRS Managed Service (RTU) Annual Support,170240.82,NDI TECHNOLOGIES LTD,2025-12-12
LCF23 - Small Heath Park - AWARD,122485.0,HAYSTOUN CONSTRUCTION LTD,2025-12-11
Contract Management Software,122400.0,AFFINITEXT (UK) LIMITED,2025-12-11
Barton Clough Primary School - PCSA (con_29618),1226033.0,TILBURY DOUGLAS,2025-12-10
Regent Farm First School - Main Works (con_29622),13797903.0,BOWMER & KIRKLAND LTD,2025-12-10
Mexborough MSCP Demolition,78148.59,ALAN WOOD PARTNERSHIP LTD,2025-12-10
Google Products and Licences,2000000.0,TMC3 LIMITED,2025-12-10
36680 - ST. ANDREWS C. C,14430.0,ADAM'S TRANSPORT,2025-12-10
Broadmarsh Highway Maintenance Depot - Broadmarsh Highway Depot EVCP - AWARD,19021.69,BLINK CHARGING UK LTD,2025-12-10
BHCC Firewall Refresh,159992.8,PHOENIX SOFTWARE LIMITED,2025-12-10
Mexborough Market Square,38816.83,ALAN WOOD PARTNERSHIP LTD,2025-12-10
"LAS Supply, Installation and Maintenance of CCTV Systems",2959656.45,AJAR TECHNOLOGY,2025-12-10
Oxford Skills Strategy - AWARD,30000.0,CENTRE FOR LOCAL ECONOMIC STRATEGIES,2025-12-10
S30028 TRST3079 HGV Lorry Parking Survey,344755.1,WSP UK LIMITED,2025-12-10
Provision of AWS PALZ Renewal,1438400.0,MOBILISE CLOUD SERVICES LTD,2025-12-10
CA16880 - MAINT6540-RFL(NM)-Novacor,20595.53,NOVACOR UK LTD,2025-12-10
LCF21 - Heath Street Planting Scheme - AWARD,39500.0,HAYSTOUN CONSTRUCTION LTD,2025-12-10
Park Lane A and B Conditions of Survey,31798.8,CURRIE & BROWN UK LTD,2025-12-10
MAINT6403- RFL /NMUH SolutionCare Services and Support Renewal  Framework Ref: SBS10175,69910.0,NETCALL TELECOM LIMITED,2025-12-10
Eepos Music Management,22500.0,OKSIDIA LTD,2025-12-10
AppDynamics Software as A Service 2025 Renewal for eRS Programme,331820.28,COMPUTACENTER (UK) LIMITED,2025-12-10
Supply and Delivery of Tyres,28000.0,THE LODGE TYRE COMPANY LTD,2025-12-10
CH1674 Data Profiling Tool,175483.0,SOFTCAT PLC,2025-12-10
Pembroke Street Communal Lighting,162688.0,ELIJAY ENERGY,2025-12-10
Hyde Park Sports Ground Pump Track,69575.0,FORTE TRAILSCAPES,2025-12-09
Project E (FE Veeam Backup - Renewal & Support),37584.96,SOFTCAT PLC,2025-12-09
Nursing Agency Provision,999000.0,INTERACT MEDICAL LIMITED,2025-12-09
Rollout of Dash Cams with Continued Support Services  - AWARD,96810.0,UK TELEMATICS LIMITED,2025-12-09
Nursing Agency Provision,999000.0,ARCADIA NURSING,2025-12-09
"Cambourne and Redruth Community Hospital, Phase Two Structural and Fire Remedial Works Hayman & Lanyon Ward",83160.89,RSK ENVIRONMENT LTD,2025-12-09
Vivid Pioneer Ultrasound,62340.48,GE HEALTHCARE LIMITED,2025-12-09
Nursing Agency Provision,999000.0,DAY WEBSTER LIMITED,2025-12-09
Vivid Pioneer Cardiovascular Ultrasound,95842.0,GE HEALTHCARE LIMITED,2025-12-09
